06150 3200   0.1299
06150 3400   0.1543
06150 3600   0.1758
06150 3800   0.2135
06150 4000   0.2272
06150 4200   0.2202
06150 4400   0.2220
06150 4600   0.2398
06150 4800   0.2486
06150 5000   0.2579
06150 5200   0.2663
06150 5400   0.2823
06150 5600   0.3064
06150 5800   0.3302
06150 6000   0.3560
06150 6200   0.3871
06150 6400   0.4187
06150 6600   0.4575
06150 6800   0.5062
06150 7000   0.5036
06150 7200   0.5768
06150 7400   0.6070
06150 7600   0.7113
06250 2600   0.0749
06250 2800   0.0670
06250 3000   0.0766
06250 3200   0.1061
06250 3400   0.1182
06250 3600   0.1323
06250 3800   0.1646
06250 4000   0.1814
06250 4200   0.1836
06250 4400   0.1891
06250 4600   0.2018
06250 4800   0.2285
06250 5000   0.2423
06250 5200   0.2647
06250 5400   0.2855
06250 5600   0.3194
06250 5800   0.3515
06250 6000   0.3872
06250 6200   0.4367
06250 6400   0.4827
06250 6600   0.5477
06250 6800   0.6055
06250 7000   0.6393
06250 7200   0.7384
06250 7400   0.8043
06250 7600   0.9173
06350 2600   0.0633
06350 2800   0.0702
06350 3000   0.0867
06350 3200   0.1172
06350 3400   0.1339
06350 3600   0.1495
06350 3800   0.1756
06350 4000   0.2004
06350 4200   0.2263
06350 4400   0.2585
06350 4600   0.3201
06350 4800   0.3421
06350 5000   0.3509
06350 5200   0.3542
06350 5400   0.3693
06350 5600   0.3879
06350 5800   0.4234
06350 6000   0.4506
06350 6200   0.5088
06350 6400   0.5582
06350 6600   0.6202
06350 6800   0.6998
06350 7000   0.7290
06350 7200   0.8636
06350 7400   0.9055
06350 7600   1.0335
06450 2600   0.0487
06450 2800   0.0583
06450 3000   0.0766
06450 3200   0.1068
06450 3400   0.1310
06450 3600   0.1626
06450 3800   0.2112
06450 4000   0.2462
06450 4200   0.2691
06450 4400   0.3007
06450 4600   0.3396
06450 4800   0.3491
06450 5000   0.3397
06450 5200   0.3446
06450 5400   0.3555
06450 5600   0.3755
06450 5800   0.3977
06450 6000   0.4159
06450 6200   0.4425
06450 6400   0.4695
06450 6600   0.5004
06450 6800   0.5443
06450 7000   0.5414
06450 7200   0.6136
06450 7400   0.6557
06450 7600   0.7243
06550 2600   0.0524
06550 2800   0.0612
06550 3000   0.0762
06550 3200   0.1045
06550 3400   0.1271
06550 3600   0.1528
06550 3800   0.1871
06550 4000   0.2182
06550 4200   0.2467
06550 4400   0.2851
06550 4600   0.3266
06550 4800   0.3619
06550 5000   0.3817
06550 5200   0.3954
06550 5400   0.4411
06550 5600   0.4953
06550 5800   0.5475
06550 6000   0.6125
06550 6200   0.7047
06550 6400   0.7854
06550 6600   0.8891
06550 6800   1.0099
06550 7000   1.0851
06550 7200   1.2828
06550 7400   1.4093
06550 7600   1.6593
06650 2600   0.0545
06650 2800   0.0609
06650 3000   0.0743
06650 3200   0.1021
06650 3400   0.1214
06650 3600   0.1560
06650 3800   0.2266
06650 4000   0.2943
06650 4200   0.3137
06650 4400   0.3398
06650 4600   0.3938
06650 4800   0.4360
06650 5000   0.4636
06650 5200   0.4912
06650 5400   0.5427
06650 5600   0.5978
06650 5800   0.6652
06650 6000   0.7746
06650 6200   0.8838
06650 6400   1.0470
06650 6600   1.2299
06650 6800   1.4380
06650 7000   1.5457
06650 7200   1.8191
06650 7400   2.1305
06650 7600   2.5299
06750 2600   0.0467
06750 2800   0.0456
06750 3000   0.0540
06750 3200   0.0746
06750 3400   0.0865
06750 3600   0.1003
06750 3800   0.1459
06750 4000   0.2127
06750 4200   0.2789
06750 4400   0.3393
06750 4600   0.3935
06750 4800   0.4243
06750 5000   0.4402
06750 5200   0.4656
06750 5400   0.5059
06750 5600   0.5741
06750 5800   0.6594
06750 6000   0.7855
06750 6200   0.8991
06750 6400   1.0892
06750 6600   1.2717
06750 6800   1.5710
06750 7000   1.7357
06750 7200   2.2199
06750 7400   2.5222
06750 7600   3.0728
06850 2600   0.0472
06850 2800   0.0487
06850 3000   0.0569
06850 3200   0.0760
06850 3400   0.0859
06850 3600   0.0969
06850 3800   0.1239
06850 4000   0.1575
06850 4200   0.2021
06850 4400   0.2973
06850 4600   0.4348
06850 4800   0.4994
06850 5000   0.5052
06850 5200   0.5245
06850 5400   0.5922
06850 5600   0.6836
06850 5800   0.8060
06850 6000   0.9461
06850 6200   1.1097
06850 6400   1.2993
06850 6600   1.5377
06850 6800   1.7921
06850 7000   2.0432
06850 7200   2.5656
06850 7400   2.8857
06850 7600   3.5205
06950 2600   0.0524
06950 2800   0.0592
06950 3000   0.0719
06950 3200   0.0911
06950 3400   0.1024
06950 3600   0.1177
06950 3800   0.1437
06950 4000   0.1721
06950 4200   0.2028
06950 4400   0.2751
06950 4600   0.4049
06950 4800   0.4644
06950 5000   0.5017
06950 5200   0.5421
06950 5400   0.5767
06950 5600   0.6517
06950 5800   0.7504
06950 6000   0.8499
06950 6200   1.0101
06950 6400   1.2075
06950 6600   1.4425
06950 6800   1.8035
06950 7000   2.0653
06950 7200   2.8007
